Result of query on yeast with node count 8, max depth 2 with 100 iterations
node_count,gpu_conversion_time,gpu_runtime,cypher_runtime
5,4,66,27
4,4,54,15
3,4,63,9
2,5,54,8
8,5,174,12688
7,4,159,9632
6,5,64,73
5,4,46,25
4,5,54,13
3,6,51,9
2,5,47,8
8,4,58,197
7,4,53,79
6,4,55,38
5,5,57,20
4,4,55,12
3,3,47,8
2,4,49,7
8,4,67,223
7,6,40,71
6,4,41,34
5,4,49,26
4,6,43,14
3,5,47,8
2,5,45,2
8,4,57,172
7,4,59,81
6,5,57,32
5,4,62,18
4,5,63,11
3,4,59,10
2,4,60,2
8,6,177,2469
7,5,57,336
6,6,53,57
5,5,52,20
4,5,64,13
3,5,63,7
2,4,58,6
8,4,65,214
7,4,44,87
6,4,54,38
5,4,49,22
4,4,51,12
3,3,48,9
2,5,49,5
8,5,62,198
7,4,42,74
6,6,56,38
5,4,60,20
4,5,50,11
3,5,47,13
2,6,45,7
8,5,56,181
7,5,56,71
6,4,46,56
5,6,53,20
4,5,38,13
3,4,39,9
2,5,38,6
8,5,54,172
7,5,58,72
6,4,53,53
5,5,55,29
4,4,51,16
3,5,50,10
2,6,50,6
8,13,72,97
7,4,48,43
6,6,47,25
5,4,50,19
4,5,55,15
3,5,47,10
2,4,51,7
8,5,63,184
7,4,64,97
6,5,86,47
5,5,41,26
4,4,48,16
3,6,53,9
2,5,51,5
8,5,60,265
7,4,56,145
6,6,58,55
5,4,49,21
4,5,56,17
3,4,47,9
2,4,44,6
8,4,72,640
7,5,53,211
6,4,49,42
5,5,46,21
4,5,45,14
3,5,49,12
2,6,54,2
8,8,61,191
7,4,50,72
6,4,44,30
5,4,50,17
4,5,57,10
3,4,47,7
2,4,43,5
8,5,185,2676
7,5,55,349
6,4,53,317
5,5,48,23
4,5,43,7
3,5,45,2
2,4,46,2
8,8,66,302
7,4,44,106
6,4,45,45
5,5,47,19
4,4,45,11
3,4,48,9
2,5,47,1
8,5,49,114
7,7,52,60
6,5,53,63
5,10,74,19
4,4,38,12
3,4,50,8
2,5,50,7
8,5,77,1885
7,4,65,510
6,4,47,411
5,5,51,35
4,5,50,33
3,4,50,11
2,5,48,6
7,239,344,5546
6,6,109,811
5,5,74,121
4,6,73,26
3,4,63,10
2,4,51,2
8,4,76,297
7,5,71,112
6,5,70,51
5,4,68,59
4,6,44,14
3,4,59,8
2,4,62,1
8,4,72,171
7,4,73,68
6,4,61,30
5,4,72,58
4,5,67,10
3,4,38,7
2,4,47,5
8,4,68,164
7,4,66,66
6,4,74,31
5,5,75,17
4,4,61,10
3,49,69,11
2,6,34,6
8,4,69,229
7,4,73,126
6,7,44,38
5,4,64,18
4,4,64,11
3,4,67,8
2,4,67,5
8,4,76,167
7,4,79,116
6,6,45,32
5,4,70,18
4,4,65,10
3,4,61,8
2,5,66,6
7,6,4721,47169
6,13,95,3990
5,4,53,68
4,5,51,31
3,5,86,15
2,4,33,1
8,4,52,168
7,4,69,81
6,3,71,42
5,4,69,22
4,4,68,14
3,4,68,12
2,4,66,5
8,5,69,208
7,5,79,127
6,6,49,40
5,5,43,19
4,4,62,12
3,5,70,8
2,4,63,5
8,4,75,132
7,4,58,79
6,4,75,34
5,5,56,19
4,4,70,13
3,5,73,8
2,4,60,6
8,4,76,228
7,7,41,71
6,4,64,33
5,4,60,33
4,5,59,11
3,4,53,8
2,4,45,1
8,6,48,180
7,4,52,69
6,4,46,33
5,5,54,45
4,6,59,13
3,6,41,7
2,5,41,5
8,5,53,86
7,6,52,43
6,4,50,23
5,4,51,16
4,6,50,11
3,5,53,10
2,5,47,7
8,5,56,134
7,4,60,58
6,4,54,25
5,4,53,261
4,18,70,13
3,7,67,12
2,5,36,2
8,6,63,451
7,4,68,408
6,4,56,228
5,4,44,33
4,5,41,14
3,5,47,9
2,8,43,5
6,31,395,6196
5,5,95,264
4,4,58,33
3,4,48,57
2,8,37,7
8,4,694,15022
7,13,105,1689
5,33,333,3254
4,5,82,168
3,5,60,16
2,4,62,2
8,4,75,169
7,4,72,81
6,7,60,30
5,4,70,16
4,5,72,13
3,4,64,9
2,5,71,7
8,5,72,195
7,4,65,89
6,4,43,35
5,5,59,19
4,4,67,10
3,4,62,9
2,5,67,1
8,4,3614,20962
7,12,343,10357
6,14,107,1589
5,4,46,55
4,5,45,22
3,5,106,10
2,4,33,6
8,4,79,1501
7,4,46,295
6,4,42,116
5,4,51,24
4,5,48,12
3,4,40,8
2,4,37,6
8,4,71,461
7,5,52,95
6,5,54,42
5,5,65,22
4,5,59,17
3,4,76,12
2,4,63,1
8,5,66,212
7,4,41,68
6,4,69,33
5,4,70,18
4,4,64,11
3,5,52,9
2,4,67,6
8,4,73,184
7,5,72,185
6,4,41,48
5,4,66,23
4,5,65,14
3,5,61,7
2,3,55,6
8,4,79,283
7,7,63,66
6,5,50,32
5,4,58,19
4,5,66,10
3,5,64,9
2,5,63,9
8,5,69,285
7,7,67,90
6,4,48,39
5,5,67,21
4,4,67,14
3,5,69,9
2,5,62,5
8,4,68,13
7,6,65,6
6,4,70,9
5,5,76,60
4,5,63,11
3,4,52,3
2,4,67,2
8,4,71,224
7,5,54,68
6,4,65,34
5,5,68,18
4,5,66,10
3,4,66,10
2,5,57,5
8,4,68,99
7,4,62,53
6,6,60,31
5,5,55,20
4,4,42,12
3,6,40,9
2,4,51,0
8,6,59,106
7,4,56,64
6,6,54,35
5,4,54,25
4,4,50,12
3,4,46,7
2,4,46,1
8,5,59,64
7,4,56,45
6,5,64,27
5,6,51,17
4,5,38,11
3,4,39,8
2,6,43,6
7,4,3906,15381
6,13,253,2294
5,4,57,209
4,5,47,76
3,4,36,9
2,4,39,2
8,4,48,68
7,4,47,39
6,5,53,27
5,4,51,18
4,4,57,12
3,6,54,9
2,5,40,6
8,4,50,122
7,7,46,37
6,4,45,24
5,4,44,15
4,6,50,11
3,4,48,7
2,5,39,6
8,5,54,62
7,4,47,34
6,5,46,28
5,7,55,24
4,6,59,14
3,7,47,7
2,6,37,6
END
-----Averages for query with 2 nodes ----
Average GPU conversion time: 5.08 ms
Average GPU run time: 51.49 ms
Average Cypher run time: 5.23 ms
-----Averages for query with 3 nodes ----
Average GPU conversion time: 5.38 ms
Average GPU run time: 57.15 ms
Average Cypher run time: 10.37 ms
-----Averages for query with 4 nodes ----
Average GPU conversion time: 4.88 ms
Average GPU run time: 58.02 ms
Average Cypher run time: 19.35 ms
-----Averages for query with 5 nodes ----
Average GPU conversion time: 5.35 ms
Average GPU run time: 62.54 ms
Average Cypher run time: 73.93 ms
-----Averages for query with 6 nodes ----
Average GPU conversion time: 6.515151515151516 ms
Average GPU run time: 67.25252525252525 ms
Average Cypher run time: 309.62626262626264 ms
-----Averages for query with 7 nodes ----
Average GPU conversion time: 11.434343434343434 ms
Average GPU run time: 173.989898989899 ms
Average Cypher run time: 1651.2323232323233 ms
-----Averages for query with 8 nodes ----
Average GPU conversion time: 7.670212765957447 ms
Average GPU run time: 204.54255319148936 ms
Average Cypher run time: 1695.0 ms
----Failed queries----
MATCH (A:O)-[:INTERACTS_WITH]->(B:P), (B:P)-[:INTERACTS_WITH]->(C:T), (B:P)-[:INTERACTS_WITH]->(D:P), (B:P)-[:INTERACTS_WITH]->(E:P), (B:P)-[:INTERACTS_WITH]->(F:P), (B:P)-[:INTERACTS_WITH]->(G:P), (B:P)-[:INTERACTS_WITH]->(H:P) RETURN D, E, F, G, A, B, C, H;
MATCH (B:T)-[:INTERACTS_WITH]->(A:T), (B:T)-[:INTERACTS_WITH]->(C:T), (D:T)-[:INTERACTS_WITH]->(B:T), (E:T)-[:INTERACTS_WITH]->(B:T), (F:T)-[:INTERACTS_WITH]->(B:T), (G:T)-[:INTERACTS_WITH]->(B:T), (H:T)-[:INTERACTS_WITH]->(B:T) RETURN D, E, F, G, A, B, C, H;
MATCH (B:T)-[:INTERACTS_WITH]->(A:U), (B:T)-[:INTERACTS_WITH]->(C:T), (D:T)-[:INTERACTS_WITH]->(B:T), (E:T)-[:INTERACTS_WITH]->(B:T), (F:U)-[:INTERACTS_WITH]->(B:T), (G:T)-[:INTERACTS_WITH]->(B:T), (H:T)-[:INTERACTS_WITH]->(B:T) RETURN D, E, F, G, A, B, C, H;
MATCH (B:P)-[:INTERACTS_WITH]->(A:P), (B:P)-[:INTERACTS_WITH]->(C:T), (B:P)-[:INTERACTS_WITH]->(D:P), (B:P)-[:INTERACTS_WITH]->(E:P), (B:P)-[:INTERACTS_WITH]->(F:P), (B:P)-[:INTERACTS_WITH]->(G:P), (B:P)-[:INTERACTS_WITH]->(H:P) RETURN D, E, F, G, A, B, C, H;
MATCH (B:U)-[:INTERACTS_WITH]->(A:D), (B:U)-[:INTERACTS_WITH]->(C:U), (B:U)-[:INTERACTS_WITH]->(D:U), (B:U)-[:INTERACTS_WITH]->(E:T), (B:U)-[:INTERACTS_WITH]->(F:U), (B:U)-[:INTERACTS_WITH]->(G:T), (B:U)-[:INTERACTS_WITH]->(H:T) RETURN D, E, F, G, A, B, C, H;
MATCH (B:U)-[:INTERACTS_WITH]->(A:D), (B:U)-[:INTERACTS_WITH]->(C:U), (B:U)-[:INTERACTS_WITH]->(D:U), (B:U)-[:INTERACTS_WITH]->(E:T), (B:U)-[:INTERACTS_WITH]->(F:U), (B:U)-[:INTERACTS_WITH]->(G:T) RETURN D, E, F, G, A, B, C;
MATCH (B:U)-[:INTERACTS_WITH]->(A:U), (B:U)-[:INTERACTS_WITH]->(C:U), (B:U)-[:INTERACTS_WITH]->(D:U), (B:U)-[:INTERACTS_WITH]->(E:U), (B:U)-[:INTERACTS_WITH]->(F:U) RETURN D, E, F, A, B, C;
