Result of query on yeast with node count 8, max depth 2 with 100 iterations
node_count,gpu_conversion_time,gpu_runtime,cypher_runtime
START
8,272,332,2492
7,28,77,361
6,25,56,156
5,11,60,98
4,7,73,45
3,5,47,27
2,5,68,18
8,6,127,1161
7,5,79,292
6,5,69,106
5,4,64,70
4,5,60,26
3,4,70,18
2,5,61,10
8,4,146,1304
7,4,83,541
6,5,58,89
5,4,71,39
4,4,68,18
3,4,67,14
2,4,68,9
8,4,64,250
7,4,66,104
6,4,76,55
5,5,62,36
4,6,65,28
3,4,48,12
2,4,50,8
8,6,73,113
7,4,75,90
6,6,80,60
5,4,76,40
4,7,68,35
3,5,49,15
2,4,68,8
8,5,1475,9043
7,4,131,3166
6,5,74,239
5,4,66,40
4,4,67,40
3,5,64,16
2,4,61,8
8,4,61,106
7,4,78,136
6,4,48,137
5,4,72,55
4,4,61,25
3,20,58,13
2,4,57,8
7,305,359,13989
6,7,83,977
5,15,58,38
4,6,54,18
3,6,67,11
2,7,64,7
8,5,55,98
7,5,72,64
6,3,54,43
5,4,75,22
4,4,73,14
3,4,74,11
2,4,53,6
8,4,63,364
7,4,50,113
6,4,77,58
5,4,66,27
4,4,73,16
3,5,67,12
2,4,61,7
8,4,3288,24523
7,34,146,2809
6,5,53,300
5,4,63,49
4,4,56,18
3,5,64,14
2,6,47,7
8,5,55,246
7,4,50,119
6,5,49,78
5,5,56,70
4,5,48,21
3,4,50,11
2,4,44,7
8,4,116,1614
7,5,127,1941
6,5,61,258
5,4,45,57
4,4,55,18
3,5,60,11
2,5,56,7
8,3,78,745
7,18,372,14954
6,20,129,2774
5,4,62,96
4,4,58,31
3,5,54,14
2,44,42,8
8,5,46,204
7,6,52,88
6,4,61,50
5,7,58,24
4,4,55,17
3,5,106,15
2,7,44,8
8,5,57,634
7,5,53,272
6,5,68,140
5,4,67,61
4,5,45,48
3,9,50,5
2,5,42,2
8,5,50,215
7,4,69,81
6,4,77,42
5,4,72,22
4,4,93,19
3,7,47,9
2,4,52,6
8,4,73,235
7,4,71,87
6,4,73,70
5,5,41,23
4,4,63,16
3,5,64,11
2,6,44,2
8,4,74,178
7,4,66,80
6,4,54,36
5,4,90,30
4,8,41,11
3,5,66,8
2,4,63,8
8,3,72,180
7,5,70,73
6,4,74,40
5,4,75,19
4,4,74,12
3,5,75,9
2,4,48,6
8,13,85,197
7,7,64,79
6,4,66,36
5,4,58,53
4,5,69,39
3,6,58,11
2,5,39,6
8,4,102,2205
7,4,92,639
6,5,68,201
5,5,66,53
4,5,60,20
3,5,58,11
2,5,44,7
8,5,60,193
7,4,72,505
6,5,59,79
5,5,50,32
4,7,51,13
3,5,49,9
2,4,38,6
8,4,54,171
7,5,59,98
6,4,45,33
5,4,53,20
4,5,53,11
3,4,44,7
2,4,41,6
8,4,145,2987
7,6,59,406
6,5,68,372
5,4,54,41
4,4,48,17
3,4,51,11
2,5,49,8
8,4,64,284
7,4,54,122
6,4,54,47
5,4,52,21
4,4,55,14
3,4,57,10
2,4,45,6
7,31,1047,18042
6,99,129,2322
5,39,78,257
4,5,49,51
3,4,61,17
2,4,53,8
8,4,79,447
7,4,54,231
6,5,68,162
5,5,70,28
4,4,69,18
3,4,70,12
2,5,61,2
8,4,71,127
7,4,71,56
6,11,80,29
5,5,62,16
4,4,68,11
3,5,73,9
2,5,59,8
8,5,57,128
7,4,91,608
6,4,54,93
5,5,69,28
4,6,69,22
3,7,49,8
2,4,56,7
8,4,69,182
7,6,70,75
6,4,72,63
5,9,44,22
4,4,60,18
3,5,65,11
2,5,57,2
8,5,2780,18177
7,13,195,2385
6,4,60,280
5,4,49,26
4,4,42,17
3,4,53,9
2,5,42,6
8,5,144,4105
7,5,53,364
6,4,53,95
5,4,50,30
4,5,54,22
3,6,47,10
2,4,45,1
8,5,66,189
7,5,62,83
6,4,70,43
5,4,62,24
4,5,66,20
3,5,68,12
2,4,69,6
8,9,87,203
7,7,49,90
6,4,51,41
5,5,73,20
4,4,71,11
3,5,68,11
2,6,65,7
8,4,169,2400
7,5,57,370
6,4,61,74
5,5,71,26
4,5,70,14
3,6,58,10
2,5,67,1
8,4,77,196
7,5,57,72
6,5,72,139
5,4,76,31
4,4,77,17
3,5,60,9
2,5,46,2
8,6,62,129
7,4,61,62
6,4,49,31
5,4,47,20
4,4,56,17
3,5,58,10
2,4,59,6
8,5,70,217
7,8,44,75
6,4,58,42
5,4,67,79
4,4,51,22
3,5,54,3
2,5,47,1
8,4,62,311
7,4,53,145
6,5,46,43
5,4,50,22
4,4,52,13
3,4,56,9
2,4,50,1
8,4,56,86
7,5,64,46
6,4,52,24
5,4,63,18
4,4,61,12
3,5,61,9
2,5,49,6
8,5,562,13585
7,14,132,3219
6,5,116,2645
5,5,59,153
4,4,45,31
3,5,44,4
2,4,41,2
8,5,53,169
7,4,55,70
6,5,54,31
5,4,58,18
4,6,67,15
3,7,46,7
2,5,48,5
8,5,63,1215
7,4,46,146
6,4,49,114
5,5,44,20
4,5,44,14
3,4,49,9
2,5,45,7
8,5,50,455
7,5,50,137
6,5,54,63
5,4,58,22
4,5,52,16
3,4,50,10
2,4,54,5
8,4,71,800
7,4,67,305
6,5,67,154
5,4,70,22
4,5,64,13
3,5,66,9
2,4,61,1
8,5,67,952
7,12,75,705
6,5,66,125
